GP  Games played,GS  Games started,MPG  Minutes Per Game,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,AST  Total Assists,APG  Assists Per Game,TO  Turnovers,TOPG  Turnovers Per Game,A/TO  Assists Per Turnover,Player,Position,Team
19,0,21.3,6,31,37,1.9,,,,,,George Hill,PG,MIL
19,2,18.1,4,31,35,1.8,,,,,,Danuel House Jr.,SF,PHI
20,3,23.6,6,30,36,1.8,,,,,,Tyus Jones,PG,MEM
18,1,14.8,5,28,33,1.8,,,,,,Moses Moody,SF,GS
19,0,13.7,8,26,34,1.8,,,,,,Derrick Rose,PG,NY
19,0,17.8,9,23,32,1.7,,,,,,Goran Dragic,PG,CHI
18,0,17.2,8,22,30,1.7,,,,,,R.J. Hampton,PG,ORL
18,8,23,7,24,31,1.7,,,,,,Cam Reddish,SF,NY
15,1,10.6,3,22,25,1.7,,,,,,Davon Reed,SG,DEN
15,1,10.2,15,9,24,1.6,,,,,,Robin Lopez,C,CLE
15,0,15.8,4,20,24,1.6,,,,,,Jordan McLaughlin,PG,MIN
14,0,11.5,15,7,22,1.6,,,,,,Zeke Nnaji,PF,DEN
20,0,16.1,3,26,29,1.5,,,,,,Devonte' Graham,PG,NO
19,1,17.8,8,20,28,1.5,,,,,,Aaron Holiday,PG,ATL
17,0,6.4,10,16,26,1.5,,,,,,Josh Okogie,SF,PHO
16,0,15.2,1,23,24,1.5,,,,,,Cameron Thomas,SG,BKN
16,2,10.8,8,14,22,1.4,,,,,,Dalano Banton,PG,TOR
18,0,14.8,3,22,25,1.4,,,,,,Daishen Nix,PG,HOU
17,2,13.8,1,23,24,1.4,,,,,,Kendrick Nunn,SG,LAL
18,8,15.4,5,20,25,1.4,,,,,,Edmond Sumner,PG,BKN
15,0,7.1,5,14,19,1.3,,,,,,Josh Christopher,SG,HOU
15,0,8.1,2,18,20,1.3,,,,,,Isaiah Joe,SG,OKC
19,1,19.1,2,22,24,1.3,,,,,,Davion Mitchell,PG,SAC
17,3,11.2,4,16,20,1.2,,,,,,Matisse Thybulle,SF,PHI
19,4,13.7,9,12,21,1.1,,,,,,Amir Coffey,SG,LAC
17,0,13.2,2,17,19,1.1,,,,,,Garrison Mathews,SF,HOU
18,0,16.8,1,16,17,0.9,,,,,,Justin Holiday,SF,ATL
17,2,14.4,4,11,15,0.9,,,,,,Cory Joseph,SG,DET
20,0,11,5,11,16,0.8,,,,,,Patty Mills,PG,BKN
20,20,,,,,,225,11.3,53,2.7,4.2,Tyrese Haliburton,PG,IND
20,20,,,,,,188,9.4,70,3.5,2.7,Trae Young,PG,ATL
17,17,,,,,,149,8.8,55,3.2,2.7,Nikola Jokic,C,DEN
19,19,,,,,,163,8.6,68,3.6,2.4,Luka Doncic,PG,DAL
15,15,,,,,,121,8.1,52,3.5,2.3,Darius Garland,PG,CLE
17,17,,,,,,134,7.9,25,1.5,5.4,Mike Conley,PG,UTA
17,17,,,,,,130,7.6,64,3.8,2,Ja Morant,PG,MEM
19,19,,,,,,143,7.5,40,2.1,3.6,Marcus Smart,PG,BOS
15,14,,,,,,111,7.4,50,3.3,2.2,Jrue Holiday,PG,MIL
18,3,,,,,,132,7.3,68,3.8,1.9,Russell Westbrook,PG,LAL
20,20,,,,,,141,7.1,48,2.4,2.9,Draymond Green,PF,GS
20,20,,,,,,141,7.1,41,2.1,3.4,Tre Jones,PG,SA
20,20,,,,,,140,7,59,3,2.4,Stephen Curry,PG,GS
21,21,,,,,,138,6.6,35,1.7,3.9,Jalen Brunson,PG,NY
21,21,,,,,,139,6.6,55,2.6,2.5,Dejounte Murray,PG,ATL
21,21,,,,,,138,6.6,57,2.7,2.4,D'Angelo Russell,PG,MIN
14,14,,,,,,93,6.6,24,1.7,3.9,Fred VanVleet,PG,TOR
19,19,,,,,,121,6.4,48,2.5,2.5,Domantas Sabonis,C,SAC
21,21,,,,,,130,6.2,53,2.5,2.5,Kyle Lowry,PG,MIA
20,20,,,,,,121,6.1,63,3.2,1.9,Shai Gilgeous-Alexander,SG,OKC
17,17,,,,,,104,6.1,36,2.1,2.9,CJ McCollum,PG,NO
19,19,,,,,,115,6.1,72,3.8,1.6,Kevin Porter,PG,HOU
18,18,,,,,,108,6,46,2.6,2.3,De'Aaron Fox,PG,SAC
20,20,,,,,,115,5.8,53,2.7,2.2,Devin Booker,SG,PHO
17,12,,,,,,99,5.8,39,2.3,2.5,Ben Simmons,PG,BKN
15,11,,,,,,85,5.7,23,1.5,3.7,Dennis Smith Jr.,PG,CHA
15,15,,,,,,84,5.6,43,2.9,2,Bradley Beal,SG,WAS
17,0,,,,,,95,5.6,40,2.4,2.4,John Wall,PG,LAC
18,18,,,,,,99,5.5,63,3.5,1.6,Josh Giddey,PG,OKC
16,16,,,,,,87,5.4,60,3.8,1.5,Giannis Antetokounmpo,PF,MIL
22,22,,,,,,118,5.4,75,3.4,1.6,Kevin Durant,PF,BKN
21,21,,,,,,111,5.3,65,3.1,1.7,Karl-Anthony Towns,PF,MIN
17,16,,,,,,88,5.2,38,2.2,2.3,Scottie Barnes,PF,TOR
18,18,,,,,,93,5.2,13,0.7,7.2,Monte Morris,PG,WAS
18,10,,,,,,93,5.2,38,2.1,2.4,Cameron Payne,PG,PHO
19,19,,,,,,95,5,58,3.1,1.6,Donovan Mitchell,SG,CLE
16,16,,,,,,80,5,33,2.1,2.4,Jamal Murray,PG,DEN
23,23,,,,,,113,4.9,59,2.6,1.9,Jordan Clarkson,PG,UTA
20,20,,,,,,96,4.8,34,1.7,2.8,Spencer Dinwiddie,PG,DAL
17,14,,,,,,81,4.8,30,1.8,2.7,Caris LeVert,SF,CLE
20,8,,,,,,94,4.7,36,1.8,2.6,Bruce Brown,SF,DEN
15,15,,,,,,70,4.7,42,2.8,1.7,Brandon Ingram,SF,NO
22,22,,,,,,103,4.7,49,2.2,2.1,Reggie Jackson,PG,LAC
20,20,,,,,,92,4.6,40,2,2.3,DeMar DeRozan,SF,CHI
22,22,,,,,,102,4.6,38,1.7,2.7,Royce O'Neale,PF,BKN
22,4,,,,,,102,4.6,65,3,1.6,Jordan Poole,SG,GS
20,20,,,,,,91,4.6,47,2.4,1.9,Jayson Tatum,PF,BOS
23,10,,,,,,103,4.5,38,1.7,2.7,Killian Hayes,PG,DET
20,3,,,,,,88,4.4,20,1,4.4,Tyus Jones,PG,MEM
15,15,,,,,,66,4.4,30,2,2.2,Tyrese Maxey,PG,PHI
16,16,,,,,,69,4.3,58,3.6,1.2,Paul George,SF,LAC
21,21,,,,,,90,4.3,36,1.7,2.5,Josh Hart,SF,POR
19,19,,,,,,81,4.3,49,2.6,1.7,Jaden Ivey,SG,DET
16,16,,,,,,68,4.3,35,2.2,1.9,Zach LaVine,SG,CHI
19,0,,,,,,81,4.3,34,1.8,2.4,Malik Monk,SG,SAC
19,19,,,,,,82,4.3,40,2.1,2.1,Anfernee Simons,SG,POR
19,0,,,,,,79,4.2,34,1.8,2.3,T.J. McConnell,PG,IND
21,21,,,,,,88,4.2,42,2,2.1,Mason Plumlee,C,CHA
20,20,,,,,,80,4,64,3.2,1.3,Jalen Green,SG,HOU
21,21,,,,,,85,4,57,2.7,1.5,Franz Wagner,G,ORL
15,15,,,,,,60,4,38,2.5,1.6,Zion Williamson,PF,NO
17,0,,,,,,65,3.8,32,1.9,2,Malcolm Brogdon,PG,BOS
21,21,,,,,,79,3.8,67,3.2,1.2,Anthony Edwards,SG,MIN
20,5,,,,,,73,3.7,30,1.5,2.4,Alex Caruso,SG,CHI
15,0,,,,,,56,3.7,9,0.6,6.2,Jordan McLaughlin,PG,MIN
18,8,,,,,,66,3.7,26,1.4,2.5,Justise Winslow,SF,POR
20,20,,,,,,72,3.6,50,2.5,1.4,Kyle Kuzma,PF,WAS
16,14,,,,,,58,3.6,25,1.6,2.3,Devin Vassell,SG,SA
20,20,,,,,,70,3.5,23,1.2,3,Mikal Bridges,SF,PHO
19,19,,,,,,67,3.5,27,1.4,2.5,Jevon Carter,PG,MIL
